Site.ID,Common.Name,Atlanta or Not
130090001,,
130150002,,
130210007,,
130210012,Macon Forestry,
130210013,Macon W,
130499000,,
130510017,,
130510021,Savannah E Pres,
130510091,,
130511002,,
130590001,,
130590002,Athens,
130630091,,
130670003,National Guard,
130670004,,
130730001,Evans,
130770002,Univ. of West GA,
130850001,GA Forestry,
130890002,South DeKalb,
130890003,,
130892001,,
130893001,Tucker,
130950007,,
130970004,W. Strickland St.,
131110091,,
131130001,Georgia DOT,
131150003,,
131150005,,
131210032,,
131210039,,
131210048,,
131210055,Confederate Ave.,
131210056,,
131270006,Brunswick,
131350002,Gwinnett Tech,
131390003,,
131510002,County Extension,
131530001,,
131850003,,
132130003,Ft Mtn,
132150001,,
132150008,Columbus AP,
132150009,,
132150010,,
132150011,,
132151003,Columbus CRLAB,
132230003,Yorkville,
132319991,Pike,
132450005,,
132450091,Bungalow,
132470001,Monastery,
132950002,,
133030001,,
133190001,,
