"Common.Name";"percentChange";"StartYear";"EndYear"
"1";"Athens College Station Road";-0.4;2005;2015
"2";"Brunswick";-0.1875;2005;2015
"3";"Bungalow";-0.352941176470588;2005;2015
"4";"Columbus Airport";-0.338235294117647;2005;2015
"5";"Columbus Lab";-0.0365853658536586;2005;2009
"6";"Confederate Ave.";-0.362637362637363;2005;2015
"7";"East President St.";-0.258064516129032;2005;2015
"8";"Evans";-0.185714285714286;2005;2015
"9";"Ft Mountain";-0.310810810810811;2005;2015
"10";"GA Forestry Dawsonville";-0.283783783783784;2005;2015
"11";"Gwinnett Tech";-0.185185185185185;2005;2015
"12";"Macon Forestry";-0.458333333333333;2005;2015
"13";"Macon Lake Tobesofkee";0.0555555555555555;2005;2009
"14";"McDonough";-0.227272727272727;2005;2015
"15";"Monastery";-0.11340206185567;2005;2015
"16";"National Guard";-0.235955056179775;2005;2015
"17";"Pike";-0.197368421052632;2011;2015
"18";"South DeKalb";-0.414634146341463;2005;2015
"19";"Tucker";0.115044247787611;2005;2007
"20";"Univ. of West GA";-0.197368421052632;2005;2015
"21";"W. Strickland St.";-0.364864864864865;2005;2015
"22";"Yorkville";-0.373134328358209;2005;2015
