"Common.Name";"percentChange";"numYears"
"1";"Brunswick";-7.45921450151058;8
"2";"Bungalow";0.112293606698489;2
"3";"Columbus Airport";-1.95833333333333;8
"4";"Confederate Ave.";-9.32204789430224;10
"5";"Coosa Elementary";-1.90278160286422;10
"6";"East President St.";-0.402113739305487;10
"7";"Georgia Tech Criteria";-0.591503267973853;5
"8";"Lathrop and Augusta";-0.658417786157592;10
"9";"Macon Forestry";-1.62626262626263;9
"10";"McCaysville";-0.599999999999993;3
"11";"South DeKalb";-3.19482656095147;5
